dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
scaffold,500,30.0,10,5,0.3,0.8356674132783887,1.1577990838454857,0.8482526996990103,1.3580181207612823,1.7529951330106688,0.5651528593632839
scaffold,1000,30.0,2,5,0.3,0.8342111562522941,1.1553468640103823,0.8488948208960309,1.36141007897562,1.7567290857699374,0.5632984013297238
scaffold,1000,30.0,5,5,0.3,0.8342111562522939,1.1553468640103821,0.848894820896031,1.36141007897562,1.7567290857699374,0.5632984013297238
scaffold,1000,30.0,10,5,0.3,0.8342111562522939,1.1553468640103821,0.848894820896031,1.36141007897562,1.7567290857699376,0.5632984013297238
scaffold,200,,2,5,0.3,0.8313567247559771,1.149848359523824,0.8503296720952079,1.3633610945457786,1.7553280074634485,0.5639947057851981
scaffold,200,,10,5,0.3,0.8313567247559771,1.149848359523824,0.8503296720952079,1.3633610945457786,1.7553280074634485,0.5639947057851981
scaffold,200,,5,5,0.3,0.8313567247559771,1.149848359523824,0.8503296720952079,1.3633610945457786,1.7553280074634485,0.563994705785198
scaffold,1000,10.0,2,1,0.5,0.9468859286362014,1.2691423559586734,0.8176628144702648,1.369569060523412,1.7616386188692852,0.5608540894642792
scaffold,200,30.0,2,5,0.3,0.8401573583028514,1.1610057527951902,0.8474109695280081,1.371357473669436,1.765208504005488,0.5590724653777939
scaffold,200,30.0,10,5,0.3,0.8401573583028514,1.1610057527951902,0.8474109695280082,1.371357473669436,1.765208504005488,0.5590724653777939
scaffold,200,30.0,5,5,0.3,0.8401573583028514,1.1610057527951902,0.8474109695280082,1.3713574736694363,1.765208504005488,0.5590724653777938
scaffold,500,20.0,2,5,0.3,0.8827258239371472,1.2128776888260078,0.8334714944745558,1.3722445932088294,1.7660741628780134,0.5586398973012522
scaffold,500,20.0,10,5,0.3,0.8827258239371474,1.2128776888260078,0.8334714944745558,1.3722445932088294,1.7660741628780134,0.5586398973012522
scaffold,500,20.0,5,5,0.3,0.8827258239371472,1.2128776888260078,0.8334714944745558,1.3722445932088294,1.7660741628780134,0.5586398973012521
scaffold,1000,20.0,2,5,0.3,0.8799536522329233,1.209527024079186,0.8343903183026855,1.3722829384352369,1.7638529010348214,0.5597494314834781
scaffold,1000,20.0,5,5,0.3,0.8799536522329233,1.209527024079186,0.8343903183026855,1.3722829384352369,1.7638529010348214,0.5597494314834781
scaffold,1000,20.0,10,5,0.3,0.8799536522329235,1.209527024079186,0.8343903183026855,1.3722829384352369,1.7638529010348214,0.5597494314834781
scaffold,500,10.0,2,1,0.5,0.9504178813859526,1.2745589396588854,0.8161030962700435,1.3767458666637713,1.7655915922192893,0.5588810630927131
scaffold,500,10.0,5,1,0.5,0.9536028109676555,1.2817386817081875,0.8140254346009685,1.3778091179406555,1.7757278991278413,0.5538015736792151
scaffold,1000,10.0,5,1,0.5,0.9539588948769955,1.2815779209139937,0.8140720830236667,1.3784182158171916,1.7711382091972558,0.5561051538902364
scaffold,1000,10.0,10,1,0.5,0.9829079090384383,1.315829426797092,0.8040010433877474,1.3795008815577428,1.7733062808935174,0.555017734639536
scaffold,200,20.0,2,5,0.3,0.8829948026308594,1.2138577480405042,0.8332022608372213,1.3809120259743903,1.778215767438533,0.5525504128884882
